x,y,,Hex,Terrain,Settlement,,Author,Description,More Info URL,Themes
13,17,,1317,forest,,,Gus L,Forest of blasted and burnt trees radiates for two miles from an empty crater.  Animals in this region are rare and the surviving predators hungry.,,
13,18,,1318,forest,,,Gus L,"A devious and ancient Devil Swine, who poses as a woodsman and lures travelers into his fortified log compound where he is attended by a bevy of attractive charmed youth, the only survivors of previous expeditions, who he claims are his children.",,DEVIL SWINE
13,19,,1319,hill,,,Lee Reynoldson,"The Hill fort of Eorfic Swordsmile. Eorfic and his clan are fierce, fur-clad,  barbarous, and heavily armed, but friendly and welcoming to those who treat fair with them.",,
13,20,,1320,hill,,,Gus L,Low hills of a sinister countenance.,,
14,01,,1401,hill,FJARÐABYGGÐ,,James Young,"[[FJARÐABYGGÐ]], Fortified village of the gruff mountain men. Some of their progeny are in Hex [[0303]], undergoing the Coming of Age trial of the Mountain Men.",,GRUFF MOUNTAIN MEN
14,01,,1401,hill,,,Wayne Snyder,On the top of these dark hills are the remains of 200 crucified goblins. A reminder to the hill goblin clans that the Dwarfs of Sul-Durabad do not think their pranks are amusing.,,"DWARFS, GOBLINS"
14,02,,1402,hill,,,Ben Hannigan,"A troop of 32 Dwarfs of Sul-Durabad head toward hex [[1401]] with a wagon cage containing 5 ice goblin prisoners, and other wagons filled with trade goods for [[FJARÐABYGGÐ]].",,"DWARFS, ICE GOBLINS, GOBLINS"
14,03,,1403,hill,,,Michael Smallridge,"Bleak moorland. The tors are geometric, resembling Hex [[1302]] but alone, weather beaten and craggy. Flowers placed atop these formations turn to silk-weave at dawn.",,
14,04,,1404,hill,,,Harald Wagener,This area is a crucible of bad weather as the storm giants from [[1504]] use the low hills to train their children in blowing lassoing tornados and juggling lightning balls.,,"STORM GIANTS, GIANTS"
14,05,,1405,hill,,,James Young,"A statue of a begging man with bulging veins on his neck kneels on the highest hill of this hex. Placing an offering of coins into his proffered hands grants a +d4 bonus to HP for d4 days. If equal offerings are given to its brother-statues in Hex [[0215]] and  Hex [[1718]] before the next moonrise, the supplicant is granted a permanent +1 to constitution. The assassin from Hex [[1303]] knows the location of the other statues.",,OFFERING STATUES
14,06,,1406,hill,,,Jason Sholtis,"Falgar the mighty barbarian lord, under geas to a sorcerer from far off south, camps here with his contingent of warriors and specialists, making ready to infiltrate the palace of [[VILSTRAJK]] in Hex [[1309]] and destroy Nidhoggr in its lair. Falgar awaits the return of a spy before making his assault.",,
14,06,,1406,hill,,,James Aulds, The Foundation and rubble of a knocked down stone watch tower. nothing above 6 feet stands still and clearing the rubble will reveal a trapdoor to a underground passage and a small hot spring fed lake with warm clean water,,
14,07,,1407,forest,MAPLETON,,Joshua Macy,"[[MAPLETON]] a peaceful settlement with a thriving trade in syrup and candy.  Among their eager trade partners are Gibberlick Hackbile (Hex [[1312]]), Nentil the Uncaring (Hex [[1317]]), and Eorfic Swordsmile (Hex [[1319]]), which has made the town a sort of unofficial neutral ground.",,
14,08,,1408,forest,,,James Smith,"An ancient, covered shrine to the Hero-Deity Naumos, the Many-Cursed. Craftily hidden as a roof support, is the +2 Spear Oblivion Awaits. Anyone taking it is Quested to slay the Devil Swine in [[1318]].",,DEVIL SWINE
14,09,,1409,forest,,,James Young,"A stand of oaks grows together, as if woven to produce a large dome. The trees enclose one of the three embodiments of Despair.",,THE THREE DESPAIRS
14,10,,1410,hill,,,James Aulds,"A small dwarven mining team has broken into the surface here, they are very lost and will trade many gems for accurate directions and for the party to never tell the story of the lost dwarves. There underground tunnel leads west many miles.",,DWARFS
14,11,,1411,forest,,,David Brawley,"A small ruined keep stands on a low hill, it's broken tower whistling strangely in the near constant cold winds. Rumor has it a silver elven sword is encased in a throne of ice within.",,
14,12,,1412,tundra,,,Brian Green,"A stone arch stands alone in the otherwise empty tundra.  When blood touches the arch, a portal appears in the archway for 2d6 turns and leads to one random location on this map.  (Anyone entering the portal during a single activation will go to the same place.)﻿",,
14,13,,1413,tundra,,,Brian Green,"A hermit (level 20 monk) lives in a cabin who dislikes visitors; will point them to the stone arch to the north, telling them how to activate it and that it might lead to fabulous treasure.  Will take pity on anyone who needs warmth for the night, but will kick them out promptly at sunrise.",,
14,14,,1414,tundra,,,James Aulds,What looks to be chunks of ice in this frozen swamp on first glance seem to contain frozen frost goblin body parts and crude weapons encased in broken ice. Ice trolls hunts this area at night and might lead you south to their trading fortress in [[1415]].,,"FROST GOBLINS, GOBLINS"
14,15,,1415,tundra,KRAGDUM-IUGHERIA,,James Aulds,"[[KRAGDUM-IUGHERIA]] Trading fortress, trade goods, supplies, fresh mounts, wildmen henchmen, trap finding goblins, all for sale or rent",,GOBLINS
14,16,,1416,forest,,,Martyn Maillardet,"Many of the trees in this area have human shapes carved into their trunks. These are the graves of ancient wildmen who once inhabited the fortress in Hex [[1415]], 1 in 10 contain burial offerings/treasure.",,
14,17,,1417,forest,,,Martyn Maillardet,Bears (6),,
14,17,,1417,forest,,,David Brawley,Forest Valley in which the devil swine of Hex [[1318]] often hunts. Sections of an ancient stone road run north to south through the middle of this hex.,,DEVIL SWINE
14,18,,1418,forest,,,Barry Blatt, Vast pit trap for the Devil-Swine of Hex [[1318]] full of wooden spikes carved with holy runes of the gruff mountain men.,,"DEVIL SWINE, GRUFF MOUNTAIN MEN"
14,19,,1419,forest,,,Barry Blatt,"Ice cave of the woolly neanderthals, who communicate  by headbutts.",,
14,20,,1420,hill,,,Zak Smith,A dryad making her way north to meet her sister in the frostfey realm Hex [[1311]] she is having trouble because she can only move by melding from live tree to tree and they are beginning to thin. She must possess a living being in order to continue north and get to another tree.,,
15,01,,1501,hill,,,Barry Blatt,Cliffs over look scenic path by a small lake. Beware falling lemmings.,,
15,02,,1502,hill,,,James Young,Large hill gives a good view of the things in nearby non-mountain hexes. Nearby mountain hexes have a good view of people standing on this hill.,,
15,03,,1503,hill,,,Steve Sigety,Large ancient temple in ruins. 2d6 ghouls tear their way out of the frosty graveyard dirt when travelers approach.,,
15,04,,1504,mountain,FIRNHEIM,,Harald Wagener,"[[FIRNHEIM]], titanic city of the storm giants. This mountain is not crowned by a giant keep, it is a city built into the mountain, homestead for several hundred storm giants including their children. The mountain is practically hollow, but not from the below as would be with dwarves or other subterraneans, but because the storm giants dug into it.",,"STORM GIANTS, GIANTS"
15,05,,1505,mountain,,,Reece Carter,"The mountain throne of the Winter Knight is hidden within this hex. This knight has been placed into the world to act as the Winter Queens vessel and this is where she resides (yes the Winter Knight is a woman, deal with it)",,
15,06,,1506,hill,,,Joey Lindsey,"Odd machinery is built around a frozen river; if the river is thawed and moves the mechanism, everyone within 30ft is transported in time. The machine is protected by 6ft tall stone mantises who are alive but pretend to be statues.",,
15,07,,1507,hill,,,Zak Smith,Vorgenfrost the white elf necromancer's red and black ebony warmask gives him mastery of all the dishonored fallen. He is researching the history of the area in a crooked tower in order to divine the location of all the tombs and mass graves in the area.,,"WHITE ELVES, ELVES"
15,08,,1508,forest,,,Barry Blatt,Sauna of the Beserks where mountain men warriors eat spotty mushrooms in preparation for gloriously bloody and futile attacks on [[FIRNHEIM]] in Hex [[1504]]. 1 in 6 chance of meeting 3d10 beserkers and their one eyed shaman preparing for a fight.,,
15,09,,1509,forest,,,James Young,"Rattling spooky tree limbs make it hard to sleep in this hex. Wisdom or will check to gain the benefits of a full night's sleep, else toss fitfully all night.",,
15,10,,1510,forest,WOODFORD,,Kelvin Green,"[[WOODFORD]]: a normal village inhabited by normal humans, except none of them seem to feel the cold and all potter about as if it's the height of summer. If asked, the villagers claim to know nothing about the stones in Hex [[0409]], but they are lying.",,
15,11,,1511,forest,,,Joey Lindsey,"Polar bears roam here, one has somehow gotten an Elf's mask caught on it's face which raises its intelligence and allows it to blend into surroundings. A Grippli Paladin of the Toad Gods stalks Slaadi bandits who have disguised themselves as a merchant wagon.",,TOAD GODS
15,12,,1512,tundra,GJAST,,Zak Smith,"[[GJAST]] (settlement) One priest, 8 rangers, one druid, 40 barbarians, one scholar, lots of miscellaneous humans, excellent goat cheese and a warm inn. A nearby bridge had a troll under it but the priest tricked it and froze it.",,
15,13,,1513,tundra,,,Gus L,"These snow covered plains are home to a large band of blue dessicated cannibal ghouls with tangled reddish hair and beards.  They dig up the corpses in Hex [[1514]] to feast upon, and are generally peaceful as they have no lack of food.",,"UNDEAD, GHOULS"
15,14,,1514,tundra,,,Zak Smith,"Site of a recent battle between a troll band from Hex [[1415]] [[KRAGDUM-IUGHERIA]] and a mixed force of amazons form Hex [[0117]] and Falgar's men from Hex [[1406]] . There are items, weapons and tracks, and a parliament of 80 snow owls picks at the dead.",,AMAZONS
15,14,,1514,tundra,,,Gus L,"This snow covered plain is traditionally used as a battlefield. Placid on the surface, digging 5' - 10' will reveal innumerable corpses of every age frozen stiff along with their equipment.",,
15,15,,1515,tundra,,,Jason Sholtis,"A vast blue frost ooze undulates senselessly in the center of a frozen bog, occasionally spewing forth fully motile offspring who roll off towards the nearest protein source. A small cult of insane worshippers inhabit a camouflaged temple on stilts in a nearby stand of pine.",,
15,16,,1516,tundra,,,Zak Smith,Eerily black stag. It is a wizard in disguise—he tricked the heads of the various armies into fighting where they did at Hex [[1514]] (Battleground of the Apathetic Gods) rather than on the traditional battleground (The battleground to whose petty gods all concerned had made sacrifices the previous dawn) because one of the generals had something he wanted. He goes there now to look for it.,,
15,17,,1517,forest,VOGAR,,James Young,[[VOGAR]] A village of 40 gruff mountain men led by Goat's Eye the shaman.,,GRUFF MOUNTAIN MEN
15,18,,1518,hill,VELKOR KEEP,,Jacob Hurst,"[[VELKOR KEEP]] A small stone keep of gruff mountain men surrounded by a stout wooden pallisade sits atop this hill overlooking the wintry forests. Three cursed, deaf/mute, storm giants with glassy eyes (from [[1504]] [[FIRNHEIM]]) collect weapons and armor from frozen battlefields in [[1514]] and leave it piled outside the gates. Legend says the giants were doing this long before Velkor Keep or the town of [[VOGAR]] ([[1517]]) were ever built, and none alive know why.",,"STORM GIANTS, GIANTS, GRUFF MOUNTAIN MEN"
15,19,,1519,forest,,,Jason Beardsley,"A small tribe of forest dwelling dwarves. They are excellent loggers, and loath fey creatures.",,DWARFS
15,20,,1520,forest,,,Jacob Hurst,"A clearing carpeted in flowers and eternal springtime is hidden deep in the forest here. Each full moon a carnival sets up for a single night, and is probably responsible for stealing the children of the dwarf tribe in Hex [[1519]].",,DWARFS
16,01,,1601,mountain,,,C. W. Marshall,"At the base of these cliffs lie the unburied corpses of the storm giant infants who were not strong enough to live. The lonely trek here from [[1504]] [[FIRNHEIM]] is not a well-worn path, but is easy enough to follow.",,"STORM GIANTS, GIANTS"
16,02,,1602,mountain,GRUFF MOUNTAIN,,James Young,"[[GRUFF MOUNTAIN]], ancestral home of the gruff mountain men, now held by the White Elves.",,"WHITE ELVES, ELVES, GRUFF MOUNTAIN MEN"
16,03,,1603,mountain,,,Jacob Hurst,"A snowless plateau in the mountains of polished obsidian reflects the constellations, even during the day. 1000 years ago the surface began to crack, and it is said that when the cracks reach the constellation of Nyrthak the Hunter, [[FIRNHEIM]] (Hex [[1504]]) will fall to darkness.",,
16,04,,1604,mountain,,,Zak Smith,This abandoned ruin on the mountainside was once a giant's city but it was abandoned years ago. Only carrion crawlers and undead vultures live there now.,,"GIANTS, UNDEAD"
16,05,,1605,mountain,,,C. W. Marshall,"There's a story that says a salmon has been swimming upstream, up the river's impassable rapids, for a hundred years. It's said he is a prince of a distant kingdom, transformed by a curse, who is trying to regain his true love, an arctic naiad who lives alone at the river's glacial source.",,
16,06,,1606,mountain,,,Jacob Hurst,The best fly agaric mushrooms in all the lands can be found in glens near the base of the mountains. Shamans of all races seek out their potency.,,
16,07,,1607,hill,CASTLE KRALLICE,,Zak Smith,"[[CASTLE KRALLICE]] Home of Good King Oskrid Orn and his 97 knights. Their horses are hearty, their swords are heavy. They plan to destroy Gibberlick Hackbile in Hex [[1312]] and search for Vorgenfrost in Hex [[1507]] but the king's advisor seeks to undermine the company's unity via cunning use of Ghost sound and Ventriloquism .",,
16,08,,1608,forest,TOWNSHIP OF FURUN,,Ben Djarum,"[[TOWNSHIP OF FURUN]] A community of farmers, hunters, smiths and artisans who live in service to [[CASTLE KRALLICE]] in Hex [[1607]]",,
16,09,,1609,forest,HATEFOREST,,Zak Smith,The [[HATEFOREST]]: You get about a half-mile in before the feelings of universal loathing begin. Then you start to see the bodies of dead travelers...,,
16,10,,1610,forest,,,David Brawley,"Strange Fruit, the Polar Bears from [[1511]] have taken to hanging things from trees in this section of woods to draw in more prey.",,
16,11,,1611,forest,,,Brian Green,Trees here are bent and twisted into bizarre shapes with no apparent explanation why.,,
16,12,,1612,tundra,MEADHALL OF JARLFROST,,Ben Djarum,[[MEADHALL OF JARLFROST]] - Barbarian lord and exiled knight of [[CASTLE KRALLICE]] in Hex [[1607]]. JARLFROST is hunting the Ice Trolls who have been spotted in the nearby woods.,,
16,13,,1613,tundra,,,Zak Smith,"A ancient clan of albino lizardmen lives beneath the rotted husk of an old castle. They worship and seek Kyth-Turan, The Dweller Beneath the Ice (in Hex [[1002]] but they don't know that).",,KYTH-TURAN
16,14,,1614,tundra,,,Jason Sholtis,"An archeological team headed by the mad sorcerer Hulukan, whose razor-clawed left hand of ice petrifies at the touch, leads a caravan of ape-drawn sledges southbound for civilization, loaded with artifacts extracted from Hex [[1514]]",,
16,15,,1615,tundra,,,David Brawley,"This hex was recently woodland, but a few years ago the trees were all leveled, blasted down and pointing generally to the south.",,
16,16,,1616,forest,,,Zak Smith,Frozen pond. Fresh drinking water beneath the ice.,,
16,17,,1617,hill,,,Joey Lindsey,"White tigers stalk a sprawling labyrinth of crude stone, hunting those driven to despair by the Embodiment in [[1817]] . Troops from various factions secretly meet here to discuss how they can betray their masters and establish new orders - [[0114]] [[0117]] [[0203]] [[0415]] [[0519]] [[1312]] etc. ﻿",,"THE THREE DESPAIRS, WHITE TIGERS"
16,18,,1618,hill,,,David Brawley,"The hills are pockmarked with mostly small copper mines. One houses a den of wargs, while another opens into an underground lake.",,
16,19,,1619,hill,,,Trent B,"A pack of 19 fishheaded Frostboar dominate these wintry hills, hunting for entrails. Their tusks are fouled and terrible.",,
16,20,,1620,hill,TERSIFLUX,,Brendan S,"High in the mountains is the citadel [[TERSIFLUX]], home of the wizard Larafdok and his subjects. Many apprentices come to him to learn destructive dweomers, and his magic is the cause of the destruction in Hex [[1615]]. He will sell incendiaries, but also has the ability to detonate any of his own creations with a thought and a wink.﻿",,
17,01,,1701,hill,,,Steven Goodman,"A weary host of ice barbarians trek south for their mountain home [[GALEGLASHIEM]]. They have been beaten badly by beast, battle & monster - the weather is now taking its toll.",,
17,02,,1702,mountain,,,James Aulds,"   Underground fungal stout brewery, abandoned since the elves took over [[GRUFF MOUNTAIN]] (Hex [[1602]]) and now overrun my fungal horrors of various flavors. several vintage barrels rumored to still be in a deep cellar",,"WHITE ELVES, ELVES, GRUFF MOUNTAIN MEN"
17,03,,1703,mountain,,,Trent B,"Between two peaks, an ancient glacier cracks and groans. Its recent decay and movement has revealed numerous fissures and caverns, leading to tunnels (Dungeons?) untouched by air for millennia.",,
17,04,,1704,mountain,,,Zak Smith,5 Arctic foxes caught in traps with strange runes cast into the metal. One is actually the sorceress that the trapper (from Hex [[1706]]) was looking to catch.,,
17,05,,1705,mountain,GALEGLASHIEM,,Steven Goodman,[[GALEGLASHIEM]] Mountain Cave-City of the Ice Barbarians; 204 barbarians are lead by ShatterAxe the Shamaness - a lost amazonian warrior-priest of Athena. Another 100+ ice barabarians (Hex [[1701]]) are struggling to survive returning to their cave-city. They live in harmony with the hunters (from Hex [[1706]]) and in the fall and spring trade with them.,,
17,06,,1706,hill,,,Trent B,"A hunter's lodge sits on a hillside by a frozen lake, housing D10 Hunters, of level 1D10, at any time. Huntmaster Karl Baerssonn knows the lands extremely well and, for pay, may guide a party to any described location. Will reward fame, goodwill, a Trophy (1D20x100GP), and a favour to anyone who brings proof of having slain any of the following game animals: The Devil Swine of Hex [[1308]] and Hex [[1407]], The Woolly Mammoth of Hex [[1218]], The Dryad of Hex [[1420]], The Arctic Tyrannosaur from Hex [[0617]].",,"MASTODONS, DEVIL SWINE"
17,07,,1707,hill,,,James Aulds,"On a prominant hill, an illusion of a giant laughing while flying a giant sized kite , directly underneath is a massive and  hungry steeljawed horror buried in concealment waiting to eat.",,
17,08,,1708,forest,,,Wayne Snyder,Hundreds of mineral rich hot springs dot these hills. It is said one of them magically heals wounds.,,
17,09,,1709,forest,,,Joey Lindsey,"The trees here grow at a strange angle, and there are large brass drums scattered over miles. If you orient your stance to the trees and beat one of the drums, the red furred demon Aunixinua will emerge from the trees and beat you with sticks - if you survive this, you can now see concealed or previously nonexistent entrances and doors for 1d6 days but must reroll HP and use the new number.",,
17,10,,1710,forest,,,Ben Djarum,"A deep cave winds into the earth. Four Ice Trolls live inside on the banks of a frozen, underground lake.",,
17,11,,1711,forest,,,Zak Smith,"Five gnarled winter treants plod across the forest, seeking to slay the Dryad in Hex [[1420]] . They can be controlled with the gold coins from Hex [[0101]] for up to an hour.",,
17,12,,1712,tundra,,,James Aulds,Frost Goblin pulled Caravan on swamp marsh sleds going to [[KRAGDUM-IUGHERIA]] led by three Ice trolls and carrying mining supplies and mage hides.,,"FROST GOBLINS, GOBLINS"
17,13,,1713,tundra,,,Zak Smith,"A frost goblin has begun a grisly ritual to bring forth The Poisoned One, a massive, bipedal undead mammoth that will lay waste to all in its path. The thing on the plinth beside the lake has one leg from Hex [[0411]], one from Hex [[0907]], one arm from Hex [[1194]], one arm from Hex [[1514]], a torso from Hex [[1601]], half a head from Hex [[1204]], and half a head from Hex [[1414]] along with a map of where they came from. The body parts must be buried with the rest of their proper remains to prevent the summoning.",,"MASTODONS, FROST GOBLINS, GOBLINS, UNDEAD"
17,14,,1714,tundra,,,Gus L,"6 miles of knee deep snowdrifts.  Occasionally the wind sound like a mocking laugh, but this is a natural illusion brought about by the exhaustion of trudging through knee deep snow for hours.",,
17,15,,1715,forest,,,Wayne Rossi,"The strange, gnarled trees of this expanse never seem to bear flowers or fruit and are always covered by a thick layer of ice.",,
17,16,,1716,forest,,,James Aulds,7 frost goblin anarchists harvest highly flammable sap from a giant red tree into clay jugs waiting for the right moon phase to try to burn  [[KRAGDUM-IUGHERIA]] in Hex [[1415]] and free their people. The rest of the trees are covered in ice as in Hex [[1715]].,,"FROST GOBLINS, GOBLINS"
17,17,,1717,hill,,,Steven Goodman,"Moull Gagolth's ancient Observatory this towering blue-metal domed structure has various telescopes, periscope, lens of all shapes and sizes scattered in the snow filled interior. If the large main periscope can be clean of ice & snow it can see for many mile to the West, North and East. The periscope will give a clear view of Destiny's Anvil (Hex [[0416]]) and can just see the entrance way to the Hall of the Mountain King (Hex [[0415]]) in the mountain to the west. On a clear day can just see the rooftop of [[WINTER PALACE]] (Hex [[0418]]) in the hills to the west.",,WINTER PALACE
17,18,,1718,hill,,,James Young,"A statue of a begging man with a star on his forehead kneels on the highest hill of this hex. Placing an offering of coins into his proffered hands grants a +d4 bonus to knowledge or wisdom-based checks for d4 days. If equal offerings are given to its brother-statues in Hex [[0215]] and  Hex [[1405]] before the next moonrise, the supplicant is granted a permanent +1 to wisdom. The dwarfs from Hex [[1519]] know the location of the other statues.",,"DWARFS, OFFERING STATUES"
17,18,,1718,hill,,,James Aulds,A pride of rare Diamond Displacer Beasts (11) stalks these frozen hills.,,
17,19,,1719,hill,KVERLERAK,,Ben Djarum,Dwarf Stronghold of [[KVERLERAK]] - The Dwarf Queen Hilde Frostheart rules from the granite throne in the keep of this walled settlement. She commands a mercenary army of dwarves and gnomes.,,"DWARFS, GNOMES"
17,20,,1720,hill,,,Ramanan Sivaranjan,"6 well provisioned hunters, led by a Frost Sorceress,  trek North in search of the Diamond Displacer Beasts in Hex [[1718]]. Their pelts are worth a small fortune.",,
18,01,,1801,hill,,,Steven Goodman,"Abandon Ski & Hunting Lodge ( four room log cabin ). The firewood is chopped, food is fresh and will last 8 people one month. There is a revolver & a box of 50 bullets under some loose floor boards.",,
18,02,,1802,mountain,,,James Aulds,Polluted Falls.  A large waterfall in this hex pours poisonous water into a lake and all plant life is dead and surrounded by skeletons of dead animals.  the source is a large one ton canister leaking the poison that contains a bound and angry plague demon,,
18,03,,1803,hill,,,Joey Lindsey,"At specific days and times, the sunlight filters through the surrounding mountains into clear beams that meet in the middle of this unusually warm valley. If the crystals from the barrel in Hex [[0707]] are held in the beam, a map of the tower in Hex [[1411]] or a false treasure map of ruins in Hex [[0407]] will be projected onto the ground. Dinosaurs roam here, gathering in the warmth.",,DINOSAURS
18,04,,1804,hill,DRAXIS,,Ramanan Sivaranjan,"Dinosaurs foolish enough to venture south from Hex [[1803]] lay dead through out the hex, victims of the cold. The village [[DRAXIS]] lays at the centre of the hex, and subsits of the meat of these dead beasts. The villagers prevent all travellers from heading North into Hex [[1804]] via their valley.",,DINOSAURS
18,05,,1805,hill,,,Zak Smith,"The Lady Of Justice dwells here and will ask the PCs about deaths they've caused since the Solstice and then curse or reward them. If they lie, magpies will crawl into their mouths while they sleep and choke them to death.",,
18,06,,1806,hill,,,James Young,The rolling hills here are all of regular shape and height. Many rabbits.,,
18,07,,1807,tundra,,,Ed Hackett,Cavern of ice leads deep into the mountains under Hex [[1606]]. Herein lies the Hand. The titanic petrified remains of the wielder of Godhammer in Hex [[0204]].,,GODHAMMER
18,08,,1808,forest,,,Zak Smith,Ooze nuns of Juiblex from the Oakheart Academy (see Hexenbrachen) seeking ooze in Hex [[1515]].,,
18,09,,1809,forest,,,Brian Green,"A fire elemental is bound in a forest clearing within a summoning circle carved into stone.  The elemental keeps the ice and snow at bay, making the area relatively lush and comfortable.",,
18,10,,1810,forest,,,James Aulds,"Woods full of night singing birds who lull you to sleep, perhaps for days.",,
18,11,,1811,forest,,,Zak Smith,"Dead thief. Frozen ice bubble with payload of blue ooze (Hex [[1515]]), ivory dagger and tin key in his pack.",,KEYS & KEYHOLES
18,12,,1812,tundra,TEWMRAW,,James Aulds,A crude watchtower and settlement next to a hot spring fed lake in a frozen marsh with a dozen shacks. Twenty seven fisher-women work the lake and trade smoked fish. They call the place [[TEWMRAW]]. Also ten men in the settlement who have had their tongues cut out for bait.,,
18,13,,1813,tundra,,,Zak Smith,"Frozen dawn—in a square mile of this area, the sun is always in mid rise.",,
18,14,,1814,tundra,,,Steven Goodman,"Three Huge Woolly Snow Worms with hundreds of razor sharp icicle teeth in their maw like mouths. The worms sense heat & sound up to one half mile, but are completely snow blind.",,
18,15,,1815,forest,,,Matt Maranda,A clearing with blood spattered on the snow and signs of a fight. The only clues are an obsidian dagger and footprints to the south east.,,
18,16,,1816,forest,,,Matt Maranda,A band of 4 young humans and a dwarf looking for [[VELKOR KEEP]] (Hex [[1518]]). They boast about being the first to steal from the giants near it to prove they are adults.,,
18,16,,1816,forest,,,Jason K,A party of butchered prospectors is found with signs of cannibalism. The lone survivor has turned into a Wendigo and is hiding in ambush.,,
18,17,,1817,forest,,,James Young,"A stand of birch trees grows together, as if woven to produce a large dome. The trees enclose one of the three embodiments of Despair.",,THE THREE DESPAIRS
18,18,,1818,hill,,,James Young,"The frozen corpse of an explorer, beside him is a diary. Folded in the front of the diary is a map of the area with the locations of the Three Despairs marked upon it. The diary details his lifelong quest to find the Three Despairs and his final death of ennui. His intention was to resurrect his wife who commited suicide after being wrongfully informed of his death on the battlefield. A person in possession of the map will be eternally driven to find the Despairs but will never be able to find them.",,THE THREE DESPAIRS
18,19,,1819,hill,,,Henry Ulrich, Skeletons of lost travelers amidst the snow. Treasure of coinage and trade goods present.,,
18,20,,1820,hill,VORVEJL,,Zak Smith,On even-numbered days this hex contains [[VORVEJL]] — a quiet village full of stone bridges. On odd numbered days it contains the First Monument of the Toad Gods and is surrounded by an unseelie court of cannibal fey.,,TOAD GODS
19,01,,1901,hill,MOSSPOT,,Trent B,Settlement (ish) [[MOSSPOT]].,,
19,02,,1902,mountain,,,Reece Carter,"A group of lost adventurers wonder though this area. They are looking for the entrance into the mountain, they will ask the PCs for help.",,
19,03,,1903,mountain,SCHERZEMONT,,Zak Smith,"A legion of poisonous white toads defends the [[SCHERZEMONT]]—any joke told at the top of this peak will echo through the surrounding hexes. If it is good, the joke will cause every living creature at least 20 feet beneath the mountain peak in Hexes [[1802]], [[1803]], [[1804]], [[1805]], [[1902]], [[1903]], [[1904]], [[2001]], [[2002]] and [[2003]] to be afflicted as by an Uncontrollable Laughter spell for one hour, if it is bad, they will clutch their heads for an hour, unwilling to move, listen or open their eyes for fear of hearing another. One joke per person, creatures over 15th level/HD get a save to simply be terribly distracted by the humor or horror thus inflicted.",,
19,04,,1904,mountain,,,Steven Goodman,"Thirteen Pterodactowls (head & feathers of an owl, body & wings of a dinosaur) roost upon high rocky mountain shelves. They are large enough when full grown to carry off a woolly mammoth. The Ranger Bunsarth (Hex [[1907]]) is willing to fund a mission to capture their young or eggs!",,"MASTODONS, DINOSAURS"
19,05,,1905,mountain,,,Matt Maranda,"Here bound in enchantments and frozen in ice is Begreli a powerful Djinni. Written in an ancient giant dialect is are the words. Those who would use this Djinni, my gift, must first cut him with opposite blades or risk releasing his tyranny upon the world. Example opposite blades include the Ivory Dagger from Hex [[1811]] and the Obsidian Dagger from Hex [[1816]].",,
19,06,,1906,tundra,,,Gus L,"A crashed low budget spacecraft - more cast iron can than aluminum saucer, it's occupants, 12 Nazi space werewolves, are trying to repair it with tundra grass and rock.   They are not amenable to reason being bloodthirsty werewolves, whose small minds are further clouded with the lies of Space National Socialism - they are armed with MP-40 machine pistols however.",,"LYCANTHROPES, WEREWOLVES"
19,07,,1907,tundra,,,Jason K," Ice Zoo of Bunsarth the Burning, retired Ranger turned animal collector. She is willing to pay a generous fee to anyone willing to bring her new and interesting monsters to join her menagerie.",,
19,08,,1908,tundra,,,Reece Carter,"A variety of different animals are kept in a stasis like state in large frozen blocks of ice, these are being moved by a large group of ice goblins to the ice zoo in Hex [[1908]]. the ice goblins are moving these creatures so that they can get some money from the ranger, and so that they also can get the lay out of the zoo to rob it in a couple of weeks time.",,"ICE GOBLINS, GOBLINS"
19,09,,1909,forest,,,Matt Maranda,"A travelling Skald named Mulsphirn is resting here while figuring out where he got turned around. Mulsphirn was travelling to [[MOSSPOT]] in hex [[1901]]. Mulsphirn knows rumors of many areas East of the mountains and is willing to trade stories for stories, although like all good story tellers Mulsphirn is prone to exaggeration.",,
19,10,,1910,forest,,,Zak Smith,"A woman juggles seven daggers and has done so for five days. After the seventh day of juggling, the seventh person cut with the seventh dagger will bleed a river of blood 4 feet deep.",,
19,11,,1911,forest,,,Christopher Helton,"A cleric has been hunched over a sword embedded in the ground, in silent prayer. When the cleric stops praying, the sword will leap from the ground and kill him.",,
19,12,,1912,forest,,,Zak Smith,Small island in the middle of a large pond contains a house which contains an urn with a puffer fish swimming in olive oil inside. Inside that is the soul of Firgax (Hex [[0201]]).,,
19,13,,1913,tundra,,,Brian Green,"As the group enters the hex, a meteorite falls from the sky and lands in the tundra, vaporizing snow and ice in the area.  The meteorite is made of a rare metal suitable for making highly magical items.",,
19,14,,1914,tundra,JOLLYOAK,,Harald Wagener,"[[JOLLYOAK]] An unremarkable igloo village of doppelgangers. They look like dark elves, but act like halflings, which is slightly disconcerting.",,
19,15,,1915,tundra,,,Joey Lindsey,"In the Southeast of this snowy plain, a Hu Hsien, or fox spirit, flees its pursuers from the Far East who are in Hex [[2015]]. In the Northwest, a Dark Elf flees Hex [[1815]], having just killed his only love.",,ELVES
19,16,,1916,tundra,,,Jason K,"In the North are an entrenched force of Orcs, in the South a motley force of elfs, and humans in between a mile section of no demihumans's land piled w/ corpses. In this no demihuman's land is a web of tunnels, a Thief's group holds sway, filled with the loot of the generations who have died in this war.",,ELVES
